Date,Open,High,Low,Close,Adj Close,Volume
2022-04-18,24.990000,25.200001,24.530001,24.840000,24.840000,11295400
2022-04-19,24.540001,25.270000,24.440001,24.660000,24.660000,10636400
2022-04-20,24.730000,25.840000,24.040001,25.700001,25.700001,20508600
2022-04-22,25.129999,25.490000,24.200001,24.480000,24.480000,18748000
2022-04-25,23.600000,24.900000,23.379999,24.700001,24.700001,17397000
2022-04-26,24.700001,25.500000,24.540001,25.309999,25.309999,21181900
2022-04-27,25.379999,25.660000,25.070000,25.590000,25.590000,15392800
2022-04-28,26.490000,26.590000,24.549999,26.280001,26.280001,41121000
2022-04-29,26.549999,28.100000,26.530001,26.700001,26.700001,44551400
2022-05-02,26.400000,26.660000,24.920000,25.150000,25.150000,22070100
2022-05-03,25.129999,25.889999,24.650000,25.830000,25.830000,13087100
2022-05-04,26.110001,27.490000,25.910000,27.330000,27.330000,21482700
2022-05-05,27.590000,27.770000,26.250000,26.549999,26.549999,17215700
2022-05-06,26.400000,26.950001,26.190001,26.500000,26.500000,12091400
2022-05-09,25.879999,26.389999,24.110001,24.219999,24.219999,22335500
2022-05-10,24.450001,24.920000,24.160000,24.270000,24.270000,9652100
2022-05-11,24.930000,26.049999,24.900000,25.490000,25.490000,15320700
2022-05-12,25.110001,26.200001,24.820000,26.139999,26.139999,16520000
2022-05-13,26.700001,27.680000,26.350000,27.090000,27.090000,18102300
2022-05-16,27.110001,27.299999,26.830000,27.059999,27.059999,13146200
2022-05-17,27.459999,27.610001,26.280001,26.520000,26.520000,20473800
2022-05-18,26.549999,26.860001,24.639999,25.180000,25.180000,24361300
2022-05-19,24.950001,25.530001,24.340000,24.870001,24.870001,19944700
2022-05-20,25.309999,25.750000,24.950001,25.480000,25.480000,27471100
2022-05-23,25.750000,26.379999,25.740000,26.170000,26.170000,15612800
2022-05-24,25.840000,27.240000,25.709999,27.190001,27.190001,20346000
2022-05-25,27.100000,27.660000,26.920000,27.469999,27.469999,10017700
2022-05-26,27.610001,28.490000,27.549999,27.980000,27.980000,16752800
2022-05-27,27.850000,28.889999,27.850000,28.719999,28.719999,17928800
2022-05-30,29.030001,29.480000,28.100000,28.260000,28.260000,15785100
2022-05-31,28.879999,29.110001,27.700001,27.990000,27.990000,25326600
2022-06-01,27.910000,28.639999,27.639999,28.150000,28.150000,15012100
2022-06-02,27.889999,28.940001,27.830000,28.700001,28.700001,15264800
2022-06-03,28.650000,28.760000,27.790001,27.809999,27.809999,13951400
2022-06-06,28.100000,28.240000,26.959999,27.059999,27.059999,10723700
