date,Fech_PETR4,Fech_PRIO3
2023-01-27,25.620001,41.790001
2023-01-30,25.75,41.5
2023-01-31,26.07,42.099998
2023-02-01,25.709999,41.099998
2023-02-02,24.52,40.049999
2023-02-03,24.790001,40.169998
2023-02-06,25.780001,41.200001
2023-02-07,25.620001,41.630001
2023-02-08,26.049999,42.549999
2023-02-09,25.93,41.959999
2023-02-10,26.719999,42.75
2023-02-13,26.799999,42.040001
2023-02-14,26.700001,40.860001
2023-02-15,26.74,40.900002
2023-02-16,26.85,40.25
2023-02-17,26.440001,38.209999
2023-02-22,25.76,37.599998
2023-02-23,26.549999,37.470001
2023-02-24,25.9,37.599998
2023-02-27,26.15,37.02
2023-02-28,25.24,33.700001
2023-03-01,25.299999,33.380001
2023-03-02,24.639999,33.959999
2023-03-03,25.700001,34.709999
2023-03-06,25.959999,34.630001
2023-03-07,25.1,33.59
2023-03-08,25.42,34.470001
2023-03-09,25.309999,33.43
2023-03-10,24.98,33.209999
2023-03-13,24.190001,31.77
2023-03-14,23.76,32.209999
2023-03-15,23.34,31.15
2023-03-16,23.26,31.700001
2023-03-17,23.51,31.370001
2023-03-20,22.93,30.99
2023-03-21,23.4,31.719999
2023-03-22,23.33,31.35
2023-03-23,22.799999,29.93
2023-03-24,22.790001,30.280001
2023-03-27,23.18,31.620001
2023-03-28,23.59,31.879999
2023-03-29,23.9,31.940001
2023-03-30,23.969999,32.349998
2023-03-31,23.450001,31.190001
2023-04-03,24.49,32.400002
2023-04-04,24.27,33.849998
2023-04-05,24.35,33.5
2023-04-06,24.0,34.860001
2023-04-10,24.51,34.919998
2023-04-11,25.66,35.73
2023-04-12,25.85,36.43
2023-04-13,26.030001,36.509998
2023-04-14,26.299999,36.68
2023-04-17,26.709999,36.150002
