date,Fech_BRENT,Fech_PRIO3
2023-02-17,46.24,38.209999
2023-02-22,45.44,37.599998
2023-02-23,45.58,37.470001
2023-02-24,46.38,37.599998
2023-02-27,45.87,37.02
2023-02-28,46.83,33.700001
2023-03-01,46.76,33.380001
2023-03-02,47.64,33.959999
2023-03-03,47.8,34.709999
2023-03-06,48.21,34.630001
2023-03-07,47.17,33.59
2023-03-08,46.35,34.470001
2023-03-09,46.63,33.43
2023-03-10,46.5,33.209999
2023-03-13,45.7,31.77
2023-03-14,44.51,32.209999
2023-03-15,40.79,31.15
2023-03-16,41.75,31.700001
2023-03-17,41.48,31.370001
2023-03-20,41.12,30.99
2023-03-21,42.03,31.719999
2023-03-22,42.95,31.35
2023-03-23,43.19,29.93
2023-03-24,41.97,30.280001
2023-03-27,43.08,31.620001
2023-03-28,44.24,31.879999
2023-03-29,44.34,31.940001
2023-03-30,44.44,32.349998
2023-03-31,44.79,31.190001
2023-04-03,47.94,32.400002
2023-04-04,47.74,33.849998
2023-04-05,47.87,33.5
2023-04-06,47.9,34.860001
2023-04-11,48.03,35.73
2023-04-12,49.15,36.43
2023-04-13,49.07,36.509998
2023-04-14,48.92,36.68
2023-04-17,48.07,36.150002
