date,Fech_PRIO3
2022-04-18,24.84
2022-04-19,24.66
2022-04-20,25.700001
2022-04-22,24.48
2022-04-25,24.700001
2022-04-26,25.309999
2022-04-27,25.59
2022-04-28,26.280001
2022-04-29,26.700001
2022-05-02,25.15
2022-05-03,25.83
2022-05-04,27.33
2022-05-05,26.549999
2022-05-06,26.5
2022-05-09,24.219999
2022-05-10,24.27
2022-05-11,25.49
2022-05-12,26.139999
2022-05-13,27.09
2022-05-16,27.059999
2022-05-17,26.52
2022-05-18,25.18
2022-05-19,24.870001
2022-05-20,25.48
2022-05-23,26.17
2022-05-24,27.190001
2022-05-25,27.469999
2022-05-26,27.98
2022-05-27,28.719999
2022-05-30,28.26
2022-05-31,27.99
2022-06-01,28.15
2022-06-02,28.700001
2022-06-03,27.809999
2022-06-06,27.059999
2022-06-07,27.309999
2022-06-08,27.799999
2022-06-09,27.219999
2022-06-10,27.1
2022-06-13,26.030001
2022-06-14,25.639999
2022-06-15,25.26
2022-06-17,23.040001
2022-06-20,22.84
2022-06-21,22.73
2022-06-22,21.27
2022-06-23,20.469999
2022-06-24,21.530001
2022-06-27,22.67
2022-06-28,22.66
2022-06-29,22.469999
2022-06-30,21.99
2022-07-01,22.1
2022-07-04,22.790001
2022-07-05,21.17
2022-07-06,20.889999
2022-07-07,21.219999
2022-07-08,21.76
2022-07-11,21.92
2022-07-12,22.24
2022-07-13,21.59
2022-07-14,20.76
2022-07-15,20.700001
2022-07-18,22.09
2022-07-19,22.360001
2022-07-20,22.26
2022-07-21,22.84
2022-07-22,22.67
2022-07-25,23.610001
2022-07-26,23.74
2022-07-27,23.690001
2022-07-28,23.790001
2022-07-29,24.219999
2022-08-01,23.370001
2022-08-02,23.389999
2022-08-03,23.76
2022-08-04,23.35
2022-08-05,24.07
2022-08-08,24.65
2022-08-09,25.049999
2022-08-10,24.799999
2022-08-11,25.360001
2022-08-12,25.870001
2022-08-15,25.33
2022-08-16,24.32
2022-08-17,24.34
2022-08-18,24.639999
2022-08-19,23.969999
2022-08-22,23.42
2022-08-23,25.110001
2022-08-24,25.98
2022-08-25,26.389999
2022-08-26,26.559999
2022-08-29,27.23
2022-08-30,26.870001
2022-08-31,27.309999
2022-09-01,27.200001
2022-09-02,27.75
2022-09-05,29.540001
2022-09-06,28.719999
2022-09-08,27.549999
2022-09-09,28.049999
2022-09-12,27.6
2022-09-13,27.030001
2022-09-14,28.41
2022-09-15,27.700001
2022-09-16,28.02
2022-09-19,28.08
2022-09-20,28.33
2022-09-21,28.530001
